plantID,fruitID,preyTRT,pollenTRT,TRT,stalkHtPollination,noFlrs,noBuds,noPastFlrs,totalFlrs,noClosedTraps,noPartialClosedTraps,noDvlpTraps,totalTraps,noExptFruitsTotal,noExptFruits1,noExptFruits2,pollinationDate,collectionDate,noBlkSeeds,MnNoBlkSeeds,bulkWtBlkSeeds,mnWtBlkSeeds,alive2020,flowering2020,numberSuccessfulFruits,numberFailedFruits,totalLargeCrickets,totalSmallCrickets,totalCricketMass
V1,V1-A,Y,N,F,32.9,5,10,7,22,5,0,0,9,3,2,1,5/28/2020,6/16/2020,32,32,9.559,0.29871875,Y,Y,14,4,20,0,0.9138
V1,V1-B,Y,N,F,32.9,5,10,7,22,5,0,0,9,3,2,1,5/28/2020,6/16/2020,31,32,9.146,0.295032258,Y,Y,14,4,20,0,0.9138
V1,V1-C,Y,N,F,32.9,4,5,12,21,3,0,3,12,3,2,1,5/31/2020,6/16/2020,33,32,7.369,0.22330303,Y,Y,14,4,20,0,0.9138
V2,V2-A,N,Y,P,31.9,2,6,5,13,2,0,2,8,2,1,1,5/26/2020,6/14/2020,30,27.5,11.232,0.3744,Y,Y,10,1,0,0,0
V2,V2-B,N,Y,P,31.9,3,2,7,12,0,3,2,8,2,1,1,5/28/2020,6/16/2020,25,27.5,7.668,0.30672,Y,Y,10,1,0,0,0
V3,V3-A,Y,Y,FP,28.7,3,5,5,13,1,0,2,8,4,2,2,5/26/2020,6/14/2020,29,26.5,6.927,0.238862069,Y,Y,5,2,31,0,1.4183
V3,V3-B,Y,Y,FP,28.7,3,5,5,13,1,0,2,8,4,2,2,5/26/2020,6/14/2020,32,26.5,8.783,0.27446875,Y,Y,5,2,31,0,1.4183
V3,V3-C,Y,Y,FP,28.7,3,3,8,14,1,0,2,7,4,2,2,5/28/2020,6/16/2020,22,26.5,4.758,0.216272727,Y,Y,5,2,31,0,1.4183
V3,V3-D,Y,Y,FP,28.7,3,3,8,14,1,0,2,7,4,2,2,5/28/2020,6/16/2020,23,26.5,5.08,0.220869565,Y,Y,5,2,31,0,1.4183
V4,V4-A,N,N,C,33.9,5,5,3,13,2,0,0,6,2,2,NA,5/28/2020,6/16/2020,23,31,7.183,0.312304348,Y,Y,10,0,0,0,0
V4,V4-B,N,N,C,33.9,5,5,3,13,2,0,0,6,2,2,NA,5/28/2020,6/16/2020,39,31,10.768,0.276102564,Y,Y,10,0,0,0,0
