plantID,fruitID,preyTRT,pollenTRT,TRT,stalkHtPollination,noFlrs,noBuds,noPastFlrs,totalFlrs,noClosedTraps,noPartialClosedTraps,noDvlpTraps,totalTraps,noExptFruitsTotal,pollinationDate,collectionDate,noBlkSeeds,MnNoBlkSeeds,bulkWtBlkSeeds,mnWtBlkSeedsFruit,numberSuccessfulFruits,numberFailedFruits,totalLargeCrickets,totalSmallCrickets,totalCricketMass
B1,B1-A,Y,N,F,33.9,5,4,5,14,2,2,2,6,2,6/1/2020,6/21/2020,15,15,4.109,0.273933333,12,1,5,0,0.294
B2,B2-A,N,Y,P,29.7,2,3,2,7,0,0,3,6,1,5/28/2020,6/19/2020,19,19,5.155,0.27131579,6,0,0,0,0
B3,B3-A,Y,Y,FP,35.3,3,4,4,11,1,0,2,5,1,6/1/2020,6/21/2020,19,19,6.474,0.340736842,7,2,3,0,0.1764
B4,B4-A,N,N,C,37.8,3,11,0,14,4,0,1,6,2,6/3/2020,6/21/2020,30,27,8.223,0.2741,9,3,0,0,0
B4,B4-B,N,N,C,37.8,1,7,5,13,3,0,1,6,2,6/7/2020,6/26/2020,24,27,6.562,0.273416667,9,3,0,0,0
B5,B5-A,Y,N,F,36,4,9,1,14,4,0,0,6,2,6/1/2020,6/21/2020,37,35.5,13.329,0.360243243,11,1,6,0,0.3528
B5,B5-B,Y,N,F,36,4,9,1,14,4,0,0,6,2,6/1/2020,6/21/2020,34,35.5,12.315,0.088235294,11,1,6,0,0.3528
B6,B6-A,N,Y,P,30.4,3,6,5,14,0,0,2,5,2,6/1/2020,6/21/2020,14,7.5,4.276,0.305428571,9,2,0,0,0
B6,B6-B,N,Y,P,30.4,2,1,11,14,1,0,4,7,2,6/7/2020,6/26/2020,1,7.5,0.286,0.286,9,2,0,0,0
B7,B7-A,Y,Y,FP,33.7,5,3,8,16,5,0,0,6,2,6/1/2020,6/21/2020,31,30.5,11.073,0.357193548,11,2,6,0,0.3528
B7,B7-B,Y,Y,FP,33.7,5,3,8,16,5,0,0,6,2,6/1/2020,6/21/2020,30,30.5,9.241,0.308033333,11,2,6,0,0.3528
B8,B8-A,N,N,C,30.6,2,8,5,15,1,1,2,6,2,6/1/2020,6/21/2020,19,18,6.436,0.338736842,11,1,0,0,0
B8,B8-B,N,N,C,30.6,1,2,12,15,1,0,2,6,2,6/7/2020,6/28/2020,17,18,4.517,0.265705882,11,1,0,0,0
B9,B9-A,Y,N,F,33.1,8,5,8,21,1,0,0,6,2,6/1/2020,6/21/2020,26,27,10.714,0.412076923,17,4,4,0,0.2352
B9,B9-B,Y,N,F,33.1,8,5,8,21,1,0,0,6,2,6/1/2020,6/21/2020,28,27,10.596,0.378428571,17,4,4,0,0.2352
B10,B10-A,N,Y,P,32,3,7,3,13,0,0,0,3,2,6/1/2020,6/21/2020,25,20,6.989,0.27956,11,0,0,0,0
B10,B10-B,N,Y,P,32,2,1,10,13,1,0,1,4,2,6/7/2020,6/26/2020,15,20,1.038,0.0692,11,0,0,0,0
B11,B11-A,Y,Y,FP,32.5,5,15,1,21,2,2,0,5,2,6/1/2020,6/21/2020,41,39,11.133,0.271536585,17,5,2,0,0.1176
