ovaryID,noOvules,site
1,30,S3
2,34,S3
3,37,S3
4,34,S3
5,32,S3
6,29,S3
7,28,S3
8,32,S3
9,32,S3
10,24,S3
11,42,S10
12,45,S10
13,23,S10
14,28,S10
15,22,S10
16,18,S10
17,12,S10
18,25,S10
19,32,S10
20,22,S10
21,27,S10
22,38,S10
23,26,S10
24,28,S10
25,23,S10
26,22,S10
27,28,S10
28,25,S10
29,26,S10
30,31,S10
31,22,S14
32,25,S14
33,18,S14
34,28,S14
35,20,S14
36,22,S14
37,18,S14
38,23,S14
39,17,S14
40,21,S14
41,18,S14
42,20,S14
43,22,S14
44,16,S14
45,28,S14
46,19,S14
47,12,S14
48,11,S14
49,21,S14
50,15,S14
51,27,S10
52,32,S10
53,43,S10
54,43,S10
55,22,S10
56,25,S10
57,25,S10
58,24,S10
59,33,S10
60,39,S10
61,24,S10
62,37,S3
63,21,S3
64,48,S3
65,34,S3
66,25,S3
67,29,S3
68,35,S3
69,28,S3
70,24,S3
71,16,S3
72,30,S3
73,28,S3
74,30,S3
75,31,S3
76,28,S3
77,21,S3
78,35,S3
79,39,S3
80,33,S3
81,26,S3
82,28,S3
83,29,S3
84,21,S14
85,19,S14
86,19,S14
87,16,S14
88,21,S14
89,19,S14
90,27,S14
91,13,S14
92,29,S14
93,28,S14
