date,budID,noMatureAnthers,noImmatureAnthers,tetradCount1,tetradCount2,tetradCount3,tetradCount4,tetradCount5,tetradCount6,tetradCount7,tetradCount8,tetradCount9,tetradCount10,tetradCount11,tetradCount12,tetradCount13,tetradCount14,tetradCount15,tetradCount16,mnNoTetradSubsample,sdTetradSubsample,seTetradSubSample,estNoTetradSample,seTetradSample,estTetradAnther,mnNoGrainsSubsample,sdGrainsSubsample,seGrainsSubsample,estNoGrainsSample,seGrainsSample,site,notes
5/15/2018,1,10,0,9,14,9,7,9,17,5,7,9,12,10,5,NA,NA,NA,NA,9.416666667,3.528026317,1.018453472,706.25,22.05016448,70.625,37.66666667,14.11210527,4.073813888,2825,88.20065792,S14,
5/15/2018,2,19,0,47,42,37,44,39,30,31,33,42,22,39,60,42,45,NA,NA,39.5,9.044760489,2.417313921,2962.5,48.45407405,155.9210526,158,36.17904196,9.669255685,11850,193.8162962,S14,
5/15/2018,3,14,0,20,20,20,17,24,23,19,18,26,22,18,21,NA,NA,NA,NA,20.66666667,2.674231694,0.771984194,1550,16.71394809,110.7142857,82.66666667,10.69692677,3.087936776,6200,66.85579236,S14,
5/15/2018,4,10,4,9,16,16,10,23,13,14,13,10,11,14,12,20,14,NA,NA,13.92857143,3.89208834,1.040204363,1044.642857,20.85047325,104.4642857,55.71428571,15.56835336,4.160817454,4178.571428,83.401893,S14,
5/15/2018,5,15,0,11,15,10,9,12,8,15,16,12,12,23,22,17,16,NA,NA,14.14285714,4.486855038,1.19916245,1060.714286,24.03672342,70.71428571,56.57142857,17.94742015,4.796649799,4242.857144,96.14689368,S14,
5/15/2018,6,11,0,18,21,12,16,14,16,29,12,16,12,28,21,21,16,NA,NA,18,5.463163355,1.460091823,1350,29.26694655,122.7272727,72,21.85265342,5.840367292,5400,117.0677862,S14,
5/15/2018,7,15,1,14,20,21,25,16,30,20,20,17,19,21,17,NA,NA,NA,NA,20,4.242640687,1.224744871,1500,26.51650429,100,80,16.97056275,4.898979486,6000,106.0660172,S14,
5/15/2018,8,14,0,8,13,10,7,4,10,6,6,9,7,8,5,NA,NA,NA,NA,7.75,2.490892502,0.719058728,581.25,15.56807814,41.51785714,31,9.963570006,2.876234913,2325,62.27231256,S14,
5/15/2018,9,15,0,18,17,16,17,29,23,21,26,27,18,28,6,17,21,NA,NA,20.28571429,6.119685405,1.635554721,1521.428571,32.78402895,101.4285714,81.14285714,24.47874162,6.542218885,6085.714284,131.1361158,S14,
5/15/2018,10,14,4,13,15,19,17,15,20,14,10,19,15,13,15,NA,NA,NA,NA,15.41666667,2.906367096,0.838995913,1156.25,18.16479435,82.58928571,61.66666667,11.62546838,3.355983651,4625,72.6591774,S14,
5/15/2018,12,15,0,25,22,26,25,28,13,17,34,17,21,11,17,19,25,NA,NA,21.42857143,6.235312412,1.666457339,1607.142857,33.40345935,107.1428571,85.71428571,24.94124965,6.665829356,6428.571428,133.6138374,S14,
5/15/2018,13,10,0,10,3,11,5,3,7,9,5,5,17,9,8,8,10,NA,NA,7.857142857,3.697340892,0.988155919,589.2857143,19.80718335,58.92857143,31.42857143,14.78936357,3.952623674,2357.142857,79.2287334,S14,
5/15/2018,14,11,2,14,14,13,21,17,20,17,11,15,18,20,8,14,16,NA,NA,15.57142857,3.631365196,0.970523172,1167.857143,19.45374212,106.1688312,62.28571429,14.52546078,3.882092688,4671.428572,77.81496848,S14,
5/15/2018,15,12,0,24,13,13,13,14,14,20,10,9,10,21,9,NA,NA,NA,NA,14.16666667,4.951277766,1.429310775,1062.5,30.94548604,88.54166667,56.66666667,19.80511106,5.717243102,4250,123.7819442,S14,
