quad,TRT,plantID,noFlrs,noBuds,noPastFlrs,noTraps,stalkHt,dateFlrOpening,dateBagged,dateMarked,dateBagRemoved,dateCollection,noBlkSeeds,bulkWtBlkSeeds,mnWtBlkSeedsFruit
1,A,1-A,1,6,0,4,30.1,5/24/2020,5/24/2020,5/25/2020,5/28/2020,6/13/2020,29,7.824,0.269793103
1,G,1-G,1,9,0,4,34,5/24/2020,5/24/2020,5/25/2020,5/28/2020,6/13/2020,12,2.702,0.225166667
1,OC,1-OC,1,11,0,3,31,5/24/2020,5/24/2020,5/25/2020,5/28/2020,6/13/2020,27,8.331,0.308555556
1,UP,1-UP,1,10,0,5,31.6,5/24/2020,5/24/2020,5/25/2020,5/28/2020,6/13/2020,0,NA,NA
2,A,2-A,2,4,2,2,34.5,5/24/2020,5/24/2020,5/25/2020,5/28/2020,6/13/2020,17,4.32,0.254117647
2,G,2-G,2,5,3,3,38.2,5/24/2020,5/24/2020,5/25/2020,5/28/2020,6/13/2020,24,8.672,0.361333333
2,OC,2-OC,2,3,2,4,30.6,5/24/2020,5/24/2020,5/25/2020,5/28/2020,6/13/2020,18,5.372,0.298444444
2,UP,2-UP,2,8,0,8,28,5/24/2020,5/24/2020,5/25/2020,5/28/2020,6/13/2020,0,NA,NA
3,A,3-A,2,2,1,9,31.1,5/24/2020,5/24/2020,5/25/2020,5/28/2020,6/13/2020,8,2.22,0.2775
3,G,3-G,2,1,4,3,24.7,5/30/2020,5/30/2020,5/26/2020,5/30/2020,6/14/2020,28,5,0.178571429
3,OC,3-OC,2,8,1,6,33.3,5/25/2020,5/25/2020,5/25/2020,5/28/2020,6/13/2020,23,7.86,0.34173913
3,UP,3-UP,2,8,1,4,34.7,5/24/2020,5/24/2020,5/25/2020,5/28/2020,6/13/2020,0,NA,NA
4,A,4-A,2,3,1,3,30.5,5/24/2020,5/24/2020,5/25/2020,5/28/2020,6/13/2020,8,2.21,0.27625
4,G,4-G,2,5,3,3,35,5/25/2020,5/25/2020,5/26/2020,5/30/2020,6/14/2020,18,5.976,0.332
4,OC,4-OC,2,7,1,3,33.6,5/24/2020,5/24/2020,5/25/2020,5/28/2020,6/13/2020,34,10.387,0.3055
4,UP,4-UP,2,6,1,5,32.1,5/24/2020,5/24/2020,5/25/2020,5/28/2020,6/13/2020,0,NA,NA
5,A,5-A,3,9,1,4,32.3,5/24/2020,5/24/2020,5/25/2020,5/28/2020,6/13/2020,20,4.695,0.23475
5,G,5-G,2,8,3,3,31.9,5/24/2020,5/24/2020,5/25/2020,5/28/2020,6/13/2020,18,5.04,0.28
5,OC,5-OC,3,4,3,6,32.1,5/24/2020,5/24/2020,5/25/2020,5/28/2020,6/13/2020,20,6.862,0.3431
5,UP,5-UP,3,9,1,4,32,5/24/2020,5/24/2020,5/25/2020,5/28/2020,6/13/2020,0,NA,NA
6,A,6-A,1,3,2,5,27.7,5/24/2020,5/24/2020,5/25/2020,5/28/2020,6/13/2020,20,5.888,0.2944
6,G,6-G,2,2,4,2,33.1,5/30/2020,5/30/2020,5/31/2020,6/3/2020,6/21/2020,20,6.208,0.3104
